number;type;tree;bush;diameter;height;description;action
1580;Липа;1;;32;;водоохр.зона;Сохранить
1587;Липа;1;;46;;;Вырубить
1588;лещина куст;;1;;;;Вырубить
1589;Рябина;1;;8;;;Вырубить
1600;Сосна;1;;58;;;Вырубить
1602;Рябина;1;;10;;;Вырубить
1604;Ель;1;;28;;;Вырубить
1608;Сосна;1;;68;;сухие ветви;Вырубить
1610;Ель;1;;54;;;Вырубить
1611;Рябина;1;;12;;;Вырубить
1617;Сосна;1;;60;;;Вырубить
1618;лещина куст;;1;;;;Вырубить
1619;Сосна;1;;66;;;Вырубить
1620;лещина куст;;1;;;;Вырубить
1621;Сосна;1;;68;;;Вырубить
1624;Ель;1;;64;;;Сохранить
1625;Дуб;1;;6;;;Сохранить
1626;самосев лиственных пород;;;1;;рябина;Сохранить
1627;барбарис куст;;1;;;;Сохранить
1654;Сосна;1;;60;;водоохр.зона, сухие ветви;Сохранить
1655;лещина куст;;1;;;водоохр.зона;Сохранить
1656;Ель;1;;54;;водоохр.зона;Сохранить
1658;Ель;1;;30;;водоохр.зона;Вырубить
1659;Ель;1;;46;;водоохр.зона;Вырубить
1660;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1661;черемуха куст;;1;;;водоохр.зона;Сохранить
1662;бересклет куст;;11;;;водоохр.зона;Вырубить
1663;Рябина;1;;8,8;;водоохр.зона, 2 ствола;Вырубить
1664;лещина куст;;1;;;водоохр.зона;Вырубить
1665;лещина куст;;1;;;водоохр.зона;Вырубить
1666;Ель;1;;60;;водоохр.зона;Вырубить
1667;Ель;1;;20;;водоохр.зона;Вырубить
1668;Рябина;1;;8;;водоохр.зона, сухостой;Вырубить
1671;Рябина;1;;6,6;;водоохр.зона, 2 ствола;Вырубить
1672;Рябина;1;;6,6;;водоохр.зона, 2 ствола;Вырубить
1674;бересклет куст;;1;;;водоохр.зона;Вырубить
1675;Сосна;1;;78;;водоохр.зона, сухие ветви;Вырубить
1676;лещина куст;;1;;;водоохр.зона;Вырубить
1677;лещина куст;;1;;;водоохр.зона;Вырубить
1678;Ель;1;;22;;водоохр.зона;Сохранить
1679;Сосна;1;;88;;водоохр.зона, сухие ветви;Вырубить
1680;лещина куст;;1;;;водоохр.зона;Вырубить
1681;ирга куст;;1;;;водоохр.зона;Вырубить
1683;бересклет куст;;1;;;водоохр.зона;Вырубить
1684;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1685;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1688;Ель;1;;48;;водоохр.зона, сухие ветви;Вырубить
1689;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1690;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1694;Ель;1;;12;;водоохр.зона;Вырубить
1695;Сосна;1;;86;;водоохр.зона, сухие ветви;Вырубить
1696;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1697;Сосна;1;;58;;водоохр.зона;Сохранить
1698;Сосна;1;;50;;водоохр.зона;Сохранить
1699;Сосна;1;;64;;водоохр.зона;Сохранить
1700;Сосна;1;;74;;водоохр.зона, сухие ветви;Сохранить
1701;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1706;Сосна;1;;62;;;Вырубить
1707;Липа;1;;12;;;Вырубить
1708;Липа;1;;14;;;Вырубить
1709;Липа;1;;26;;;Вырубить
1710;Липа;1;;14;;;Вырубить
1711;Сосна;1;;54;;;Вырубить
1712;Липа;1;;24;;;Вырубить
1713;Ель;1;;18;;;Вырубить
1714;Сосна;1;;68;;;Вырубить
1715;Ель;1;;22;;;Вырубить
1716;Сосна;1;;54;;;Вырубить
1717;Ель;1;;6;;;Вырубить
1718;Рябина;1;;14;;;Вырубить
1719;Береза;1;;22;;;Вырубить
1720;Береза;1;;30;;;Вырубить
1721;Береза;1;;18;;;Вырубить
1722;Клен остролистный;1;;10;;;Вырубить
1723;Липа;1;;12;;;Вырубить
1724;бересклет куст;;1;;;;Вырубить
1726;Клен остролистный;1;;10;;;Вырубить
1727;самосев лиственных пород;;;;;;Вырубить
1728;Сосна;1;;58;;;Вырубить
1729;Клен остролистный;1;;12;;;Вырубить
1730;Липа;1;;24;;;Вырубить
1731;Клен остролистный;1;;12;;;Вырубить
1732;Клен остролистный;1;;10;;;Вырубить
1733;Клен остролистный;1;;22;;;Сохранить
1734;Липа;1;;10;;;Вырубить
1735;Клен остролистный;1;;8;;;Вырубить
1736;Ель;1;;50;;;Сохранить
1737;Клен остролистный;1;;8,8;;2 ствола;Вырубить
1738;лещина куст;;1;;;;Сохранить
1739;Ель;1;;56;;;Вырубить
1740;Липа;1;;6;;;Вырубить
1741;Клен остролистный;1;;6;;;Вырубить
1742;Клен остролистный;1;;8;;;Вырубить
1743;Ель;1;;54;;;Вырубить
1744;Липа;1;;20,2;;2 ствола;Вырубить
1745;Ель;1;;46;;;Сохранить
1746;Сосна;1;;54;;;Вырубить
1747;Липа;1;;16,16,16,16;;четырехствольное;Вырубить
1748;Липа;1;;20;;;Вырубить
1749;Береза;1;;26;;;Вырубить
1750;Сосна;1;;48;;;Сохранить
1751;Сосна;1;;50;;;Вырубить
1752;Береза;1;;16;;;Вырубить
1753;Клен остролистный;1;;12,18;;2 ствола;Вырубить
1754;Сосна;1;;58;;;Вырубить
1755;Клен остролистный;1;;8;;;Сохранить
1756;Липа;1;;6;;;Вырубить
1757;Липа;3;;6;;;Вырубить
1758;самосев лиственных пород;;;;;различ.;Вырубить
1759;Липа;1;;40;;;Сохранить
1760;ирга куст;;1;;;;Вырубить
1761;Клен остролистный;1;;26;;ствол наклонен;Вырубить
1762;Липа;1;;18,18;;2 ствола;Сохранить
1763;Сосна;1;;40;;;Сохранить
1764;Береза;1;;14;;;Сохранить
1765;Клен остролистный;1;;8;;;Вырубить
1766;Береза;1;;16;;;Вырубить
1767;Сосна;1;;62;;ствол наклонен;Вырубить
1768;Береза;1;;30;;;Вырубить
1769;Ель;1;;14;;;Сохранить
1770;Рябина;1;;24;;;Вырубить
1771;Клен остролистный;1;;12;;;Вырубить
1772;Ива ломкая;1;;10;;;Вырубить
1773;кизильник куст;;2;;;;Вырубить
1774;Клен остролистный;1;;10;;;Вырубить
1775;Клен остролистный;1;;8;;;Вырубить
1776;Клен остролистный;1;;8;;;Вырубить
1777;Клен остролистный;1;;14;;;Вырубить
1778;Береза;1;;14;;;Вырубить
1779;Сосна;1;;66;;;Вырубить
1780;Клен остролистный;1;;10;;;Вырубить
1781;Ель;1;;32;;;Вырубить
1782;Береза;1;;10;;;Вырубить
1783;Сосна;1;;40;;;Вырубить
1784;Липа;1;;8,16;;двуствол.;Вырубить
1785;Клен остролистный;1;;18;;;Вырубить
1786;Клен остролистный;1;;10;;;Вырубить
1787;Дуб;1;;8;;;Вырубить
1788;Береза;1;;14;;;Вырубить
1789;Сосна;1;;64;;;Вырубить
1790;Сосна;1;;44;;;Вырубить
1791;Сосна;1;;44;;;Вырубить
1792;Липа;1;;8,22;;2 ствола;Сохранить
1793;Береза;1;;14;;;Вырубить
1794;Сосна;1;;68;;;Вырубить
1795;Ель;1;;28;;;Вырубить
1796;Береза;1;;16;;;Вырубить
1797;Ель;1;;46;;;Вырубить
1798;Клен остролистный;1;;10;;;Вырубить
1799;Дуб;1;;10;;;Вырубить
1800;Ель;1;;26;;;Вырубить
1801;Береза;1;;20;;ствол наклонен;Вырубить
1802;Сосна;1;;56;;;Вырубить
1803;Сосна;1;;56;;;Вырубить
1804;Дуб;1;;20;;;Вырубить
1805;Рябина;1;;8,8;;2 ствола;Вырубить
1806;Сосна;1;;68;;ствол наклонен;Вырубить
1807;Рябина;1;;6,8,8,8;;четырехствольное;Вырубить
1808;Клен остролистный;1;;10;;;Вырубить
1809;самосев лиственных пород;;448;;;различ.;Вырубить
1810;Рябина;1;;20;;;Вырубить
1811;Ель;1;;8;;;Вырубить
1812;Сосна;1;;68;;;Вырубить
1813;Липа;1;;6,1;;2 ствола;Вырубить
1814;Клен остролистный;1;;14;;;Вырубить
1815;Сосна;1;;50;;;Вырубить
1816;Береза;1;;16;;;Вырубить
1817;Сосна;1;;56;;;Вырубить
1818;Береза;1;;14;;;Вырубить
1819;Клен остролистный;1;;6,1;;2 ствола;Вырубить
1820;Клен остролистный;1;;10;;;Вырубить
1821;Рябина;1;;12;;с развилкой;Вырубить
1825;Сосна;1;;70;;;Сохранить
1826;Сосна;1;;64,64;;2 ствола;Вырубить
1827;Липа;1;;10;;;Вырубить
1828;Дуб;1;;26;;;Сохранить
1829;Ель;1;;40;;;Сохранить
1830;Липа;1;;6,8,8,8;;четырехствольное;Вырубить
1831;Клен остролистный;1;;10;;;Вырубить
1832;Липа;1;;6,8,8,8;;четырехствольное;Сохранить
1834;Береза;1;;30;;;Сохранить
1836;Клен остролистный;1;;12;;;Сохранить
1838;Клен остролистный;1;;12;;;Сохранить
1839;Клен остролистный;1;;10;;;Сохранить
1840;Липа;1;;46;;;Сохранить
1845;Береза;1;;56;;ствол наклонен;Сохранить
1848;Рябина;1;;10,1;;2 ствола;Вырубить
1849;Береза;1;;46;;сухобочина;Вырубить
1850;Липа;1;;16;;;Вырубить
1851;самосев лиственных пород;;;;;различ.;Вырубить
2047;Ель;1;;66;;;Вырубить
2083;Ель;1;;20;;;Вырубить
2102;Ель;1;;58;;;Сохранить
2103;Сосна;1;;52;;;Сохранить
2107;лещина куст;;2;;;;Сохранить
2115;Береза;1;;36;;;Сохранить
2123;Липа;1;;28;;;Сохранить
2126;Акация белая;1;;6;;;Сохранить
2127;Акация белая;1;;6;;;Сохранить
2146;Акация белая;1;;10;;ствол наклонен;Сохранить
2147;Акация белая;1;;8,1;;2 ствола, сухобочина, ствол наклонен;Сохранить
2148;Дуб;1;;80;;сухие ветви;Сохранить
2151;Клен остролистный;1;;8;;;Сохранить
2152;Липа;1;;42;;;Сохранить
2173;дек.-лиственный кустарник;;15;;;рододендрон;Сохранить
2193;Сосна;1;;52;;;Сохранить
2209;Туя;1;;40,46;;2 ствола;Сохранить
2227;Ель;1;;74;;;Сохранить
2229;пл.-ягодный кустарник;;69;;;айва;Сохранить
2230;самосев лиственных пород;;;1;;;Вырубить
2249;Береза;1;;58;;;Сохранить
2252;чубушник куст;;3;;;;Сохранить
2258;Ель;1;;26;;сухие ветви;Вырубить
2262;Ель;1;;20;;;Сохранить
2263;Сосна;1;;10;;с развилкой;Сохранить
2264;Сосна;1;;76;;;Сохранить
2266;калина куст;;1;;;калина черная;Сохранить
2267;калина куст;;1;;;калина черная;Сохранить
2271;Липа;1;;52;;с развилкой;Вырубить
2272;Липа;1;;46;;с развилкой, сухие ветви, спилы;Вырубить
2273;Липа;1;;28;;;Вырубить
2274;Липа;1;;60;;с развилкой;Вырубить
2276;Липа;1;;20;;;Вырубить
2277;Липа;1;;36;;;Вырубить
2279;Липа;1;;46;;;Вырубить
2280;Липа;1;;44;;с развилкой;Вырубить
2282;Липа;1;;52;;с развилкой;Вырубить
2283;Липа;1;;44;;;Вырубить
2284;Липа;1;;46;;;Вырубить
2286;Сосна;1;;84;;;Сохранить
2287;Сосна;1;;58;;сухобочина;Вырубить
2288;Сосна;1;;60;;;Вырубить
2289;Лиственница;1;;14;;;Сохранить
2293;Береза;1;;32;;ствол наклонен;Вырубить
2294;Береза;1;;40;;водоохр.зона, ствол наклонен;Вырубить
2295;Береза;1;;24;;водоохр.зона;Вырубить
2296;Клен остролистный;1;;16;;водоохр.зона;Вырубить
2297;Клен остролистный;1;;16;;водоохр.зона, ствол наклонен;Вырубить
2299;Ива ломкая;1;;24;;водоохр.зона, спилы;Вырубить
2300;Ива ломкая;1;;18;;водоохр.зона;Сохранить
2301;лещина куст;;1;;;водоохр.зона;Вырубить
2302;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
2303;Пихта;1;;38;;водоохр.зона, ствол наклонен, сухие ветви, сухобочина, стволовая гниль;Вырубить
2304;Клен ясенелистный;1;;16;;водоохр.зона;Вырубить
2305;Клен ясенелистный;1;;36;;водоохр.зона;Вырубить
2306;Клен ясенелистный;1;;14;;водоохр.зона;Вырубить
